严重性	代码	说明	项目	文件	行	抑制状态	详细信息
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\test\VsEmulator\obj\Debug\NewProjectMainPage.g.cs	12		
警告(活动)		The .NET SDK has newer analyzers with version '10.0.102' than what version '7.0.0' of 'Microsoft.CodeAnalysis.NetAnalyzers' package provides. Update or remove this package reference.	SharedFunctionality.Core.Tests	C:\Users\11156\.nuget\packages\microsoft.codeanalysis.netanalyzers\7.0.0\build\Microsoft.CodeAnalysis.NetAnalyzers.targets	593		
警告(活动)	NU1903	包 "System.IO.Packaging" 6.0.0 具有已知的 高 严重性漏洞，https://github.com/advisories/GHSA-f32c-w444-8ppv	SharedFunctionality.Core.Tests	C:\Users\11156\source\repos\TemplateStudio\code\test\SharedFunctionality.Core.Tests\SharedFunctionality.Core.Tests.csproj	1		
警告(活动)	NU1903	包 "System.IO.Packaging" 6.0.0 具有已知的 高 严重性漏洞，https://github.com/advisories/GHSA-qj66-m88j-hmgj	SharedFunctionality.Core.Tests	C:\Users\11156\source\repos\TemplateStudio\code\test\SharedFunctionality.Core.Tests\SharedFunctionality.Core.Tests.csproj	1		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests	C:\Users\11156\source\repos\TemplateStudio\code\test\SharedFunctionality.UI.Tests\obj\Debug\CodeViewer.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests	C:\Users\11156\source\repos\TemplateStudio\code\test\SharedFunctionality.UI.Tests\obj\Debug\CompositionToolWindow.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests	C:\Users\11156\source\repos\TemplateStudio\code\test\SharedFunctionality.UI.Tests\obj\Debug\ErrorDialog.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests	C:\Users\11156\source\repos\TemplateStudio\code\test\SharedFunctionality.UI.Tests\obj\Debug\InfoDialog.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests	C:\Users\11156\source\repos\TemplateStudio\code\test\SharedFunctionality.UI.Tests\obj\Debug\NewItemMainPage.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests	C:\Users\11156\source\repos\TemplateStudio\code\test\SharedFunctionality.UI.Tests\obj\Debug\NewItemWizardShell.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests	C:\Users\11156\source\repos\TemplateStudio\code\test\SharedFunctionality.UI.Tests\obj\Debug\NewProjectMainPage.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests	C:\Users\11156\source\repos\TemplateStudio\code\test\SharedFunctionality.UI.Tests\obj\Debug\NewProjectWizardShell.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests	C:\Users\11156\source\repos\TemplateStudio\code\test\SharedFunctionality.UI.Tests\obj\Debug\NotificationsControl.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests	C:\Users\11156\source\repos\TemplateStudio\code\test\SharedFunctionality.UI.Tests\obj\Debug\ProjectConfigurationDialog.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests	C:\Users\11156\source\repos\TemplateStudio\code\test\SharedFunctionality.UI.Tests\obj\Debug\QuestionDialogWindow.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests	C:\Users\11156\source\repos\TemplateStudio\code\test\SharedFunctionality.UI.Tests\obj\Debug\SequentialFlow.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests	C:\Users\11156\source\repos\TemplateStudio\code\test\SharedFunctionality.UI.Tests\obj\Debug\TemplateInfoPage.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests	C:\Users\11156\source\repos\TemplateStudio\code\test\SharedFunctionality.UI.Tests\obj\Debug\TemplateSelectionPage.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests	C:\Users\11156\source\repos\TemplateStudio\code\test\SharedFunctionality.UI.Tests\obj\Debug\TemplateStudioStyles.g.cs	12		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Composition\CompositionQuery.cs	11		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Composition\CompositionQuery.cs	44		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Diagnostics\FileHealthWriter.cs	14		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Diagnostics\FileHealthWriter.cs	72		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Diagnostics\FileHealthWriter.cs	144		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Diagnostics\FileHealthWriter.cs	145		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Diagnostics\FormattedWriterMessages.cs	8		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Diagnostics\FormattedWriterMessages.cs	14		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Diagnostics\ShellHealthWriter.cs	9		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Diagnostics\ShellHealthWriter.cs	30		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Diagnostics\ShellHealthWriter.cs	35		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Diagnostics\ShellHealthWriter.cs	57		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Diagnostics\TraceHealthWriter.cs	9		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Diagnostics\TraceHealthWriter.cs	20		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Diagnostics\TraceHealthWriter.cs	46		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Extensions\StringExtensions.cs	8		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Extensions\StringExtensions.cs	24		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenComposer.cs	10		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenComposer.cs	167		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenContext.cs	16		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenContext.cs	40		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenContext.cs	76		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenContext.cs	92		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenContext.cs	93		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenController.cs	17		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenController.cs	103		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenController.cs	105		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenController.cs	107		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenController.cs	109		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenController.cs	111		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenController.cs	130		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenController.cs	150		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenController.cs	161		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenController.cs	169		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenController.cs	178		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenException.cs	8		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\GenException.cs	26		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\NewItemGenController.cs	19		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\NewItemGenController.cs	221		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\NewProjectGenController.cs	14		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Gen\NewProjectGenController.cs	65		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Helpers\Fs.cs	11		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Helpers\Fs.cs	28		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Helpers\Fs.cs	65		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Helpers\Fs.cs	89		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Helpers\Fs.cs	105		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Helpers\Fs.cs	121		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Helpers\Fs.cs	139		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Helpers\Fs.cs	179		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Helpers\ProjectHelper.cs	9		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Helpers\ProjectHelper.cs	24		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Locations\TemplatesSourceConfig.cs	12		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Locations\TemplatesSourceConfig.cs	44		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Locations\TemplatesSynchronization.cs	12		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Locations\TemplatesSynchronization.cs	185		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Locations\TemplatesSynchronization.cs	214		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Locations\TemplatesSynchronization.cs	232		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Locations\TemplatesSynchronization.cs	238		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Locations\TemplatesSynchronization.cs	253		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Locations\TemplatesSynchronization.cs	270		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Locations\TemplatesSynchronization.cs	302		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Locations\TemplatesSynchronization.cs	316		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Locations\TemplatesSynchronization.cs	338		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Locations\TemplatesSynchronization.cs	354		
错误(活动)	CS0234	命名空间“Microsoft.Templates”中不存在类型或命名空间名“SharedResources”(是否缺少程序集引用?)	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Naming\NamingService.cs	11		
错误(活动)	CS0103	当前上下文中不存在名称“Resources”	SharedFunctionality.UI.Tests, VsEmulator	C:\Users\11156\source\repos\TemplateStudio\code\SharedFunctionality.Core\Naming\NamingService.cs	38		
